# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_DEVICE 0 GeForce GTX 480
# CUDA_CONTEXT 2
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff685719c1c70
method,gputime,cputime,dynsmemperblock,stasmemperblock,regperthread,occupancy
_limit_vertices_by_all_neighbours_loop1D_1,83.968,14.000,0,0,34,0.583
memcpyDtoH,122.592,325.000
memcpyDtoH,181.952,472.000
memcpyDtoH,65.920,190.000
memcpyDtoH,61.728,174.000
memcpyDtoH,181.888,504.000
memcpyDtoH,188.000,495.000
memcpyDtoH,62.848,174.000
memcpyDtoH,62.048,172.000
memcpyDtoH,182.080,469.000
memcpyDtoH,398.816,885.000
memcpyDtoH,61.408,179.000
memcpyDtoH,182.016,469.000
memcpyDtoH,197.056,496.000
memcpyDtoH,62.656,176.000
memcpyDtoH,62.048,170.000
memcpyDtoH,61.600,171.000
memcpyDtoH,181.920,473.000
memcpyDtoH,194.624,499.000
memcpyDtoH,63.232,174.000
memcpyDtoH,61.632,170.000
memcpyHtoD,112.256,232.000
memcpyHtoD,166.048,292.000
memcpyHtoD,59.968,110.000
memcpyHtoD,57.184,108.000
memcpyHtoD,166.080,295.000
memcpyHtoD,166.304,391.000
memcpyHtoD,63.712,108.000
memcpyHtoD,57.600,110.000
memcpyHtoD,166.016,293.000
memcpyHtoD,538.112,704.000
memcpyHtoD,57.248,167.000
memcpyHtoD,166.112,301.000
memcpyHtoD,166.528,310.000
memcpyHtoD,56.896,103.000
memcpyHtoD,57.248,102.000
memcpyHtoD,56.928,103.000
memcpyHtoD,166.016,295.000
memcpyHtoD,168.096,311.000
memcpyHtoD,56.928,103.000
memcpyHtoD,57.312,101.000
_compute_gradients_loop1D_1,85.696,13.000,0,0,30,0.667
memcpyHtoD,166.080,307.000
_extrapolate_from_gradient_loop1D_1,41.248,14.000,0,0,16,0.667
memcpyDtoH,182.592,511.000
_limit_vertices_by_all_neighbours_loop1D_1,74.784,15.000,0,0,34,0.583
_compute_gradients_loop1D_1,84.640,6.000,0,0,30,0.667
memcpyHtoD,166.080,301.000
_extrapolate_from_gradient_loop1D_1,41.440,12.000,0,0,16,0.667
memcpyDtoH,186.624,477.000
_limit_vertices_by_all_neighbours_loop1D_1,83.776,14.000,0,0,34,0.583
_compute_gradients_loop1D_1,86.496,7.000,0,0,30,0.667
memcpyHtoD,166.144,307.000
_extrapolate_from_gradient_loop1D_1,41.408,13.000,0,0,16,0.667
memcpyDtoH,182.624,475.000
_limit_vertices_by_all_neighbours_loop1D_1,79.392,14.000,0,0,34,0.583
memcpyDtoH,122.400,324.000
memcpyDtoH,181.856,473.000
memcpyDtoH,65.632,189.000
memcpyDtoH,62.080,177.000
memcpyDtoH,182.208,507.000
memcpyDtoH,194.176,507.000
memcpyDtoH,61.696,171.000
memcpyDtoH,61.664,172.000
memcpyDtoH,182.080,470.000
